State,District,Latitude,Longitude,ResolvedLocation,CoordinateSource,Year,Rainfall,Temperature,WeatherAggregation,WeatherDataSource
Punjab,Ludhiana,30.804715545305687,75.83614321635899,Ludhiana,geoBoundaries India ADM2 centroid,2021,578.6,23.0,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Ludhiana,30.804715545305687,75.83614321635899,Ludhiana,geoBoundaries India ADM2 centroid,2022,934.3,23.51,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Ludhiana,30.804715545305687,75.83614321635899,Ludhiana,geoBoundaries India ADM2 centroid,2023,735.5,22.56,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Bankura,23.141454166601765,87.13443709055578,Bankura,geoBoundaries India ADM2 centroid,2013,1418.3,25.19,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Bankura,23.141454166601765,87.13443709055578,Bankura,geoBoundaries India ADM2 centroid,2014,1184.7,25.59,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Bankura,23.141454166601765,87.13443709055578,Bankura,geoBoundaries India ADM2 centroid,2015,1574.6,25.99,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Bankura,23.141454166601765,87.13443709055578,Bankura,geoBoundaries India ADM2 centroid,2016,1237.6,26.26,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Bankura,23.141454166601765,87.13443709055578,Bankura,geoBoundaries India ADM2 centroid,2017,1636.9,25.64,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Bankura,23.141454166601765,87.13443709055578,Bankura,geoBoundaries India ADM2 centroid,2018,1473.8,25.27,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Bankura,23.141454166601765,87.13443709055578,Bankura,geoBoundaries India ADM2 centroid,2019,1761.3,25.42,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
